,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp_Total,Att_Total,Cmp%_Total,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Touches,T_Def Pen,T_Def 3rd,T_Mid 3rd,T_Att 3rd,T_Att Pen,T_Live,Drib_Att,Drib_Succ,Drib_Succ%,Drib_Tkld,Drib_Tkld%,Carries,Carry_TotDist,Carry_PrgDist,Carry_PrgNum,Carry_1/3,Carry_PA,Carry_Miscon,Carry_Dispos,Rec,Rec_Prg,D_Tkl,D_TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Chal_Tkl,Chal_Att,Chal_Tkl%,Chal_Lost,Blocks,B_Sh,B_Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,ENG,DF,Bournemouth,Premier League,23.0,2000.0,13.7,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,0.2,7,25,13,2,43,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
1,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22.0,2000.0,14.1,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,0.1,22,30,14,3,56,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0
2,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19.0,2003.0,1.1,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,0.9,1,4,2,0,5,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
3,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17.0,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,8,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35.0,1987.0,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,0.6,0.4,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2
5,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23.0,2000.0,16.9,0,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,27,1.6,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0
6,Nabil Aberdin,FRA,DF,Getafe,La Liga,20.0,2002.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,87,4,37,49,1,1,87,0,0,0.0,0,0.0,47,326,183,0,0,0,1,1,54,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30.0,1993.0,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,0.9,0.9,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.2,1.9,-1.2,30,188,23,3,194,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3
8,Matthis Abline,FRA,FW,Nantes,Ligue 1,20.0,2003.0,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,1.2,1.2,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0
9,Abner,BRA,DF,Betis,La Liga,23.0,2000.0,15.6,0,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0
10,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23.0,2000.0,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,0.2,0.0,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0
11,Abdel Abqar,MAR,DF,Alavés,La Liga,24.0,1999.0,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0
12,Tammy Abraham,ENG,FW,Roma,Serie A,25.0,1997.0,2.7,1,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0,0,0.6,0.6,0.15,0.4,0.4,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,69,4,4,31,34,9,69,6,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15,3,1,0,1,2,0,0,0.0,0,1,0,1,0,3,4,0
13,Francesco Acerbi,ITA,DF,Inter,Serie A,35.0,1988.0,26.5,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,1.6,1.6,0.11,1.4,1.4,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
14,Joshua Acheampong,ENG,DF,Chelsea,Premier League,17.0,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,2,50.0,18,7,0,0,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,15.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,6,5,5,0,1,0,6,0,0,0.0,0,0.0,1,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,3,0,0,0,0,0
15,Marcos Acuña,ARG,DF,Sevilla,La Liga,31.0,1991.0,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,0.7,0.7,628,847,74.1,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,2,1.5,2.1,0.5,23,52,19,12,59,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0,984,33,270,476,253,10,984,21,10,47.6,8,38.1,473,2266,1224,23,20,4,20,16,546,42,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0
16,Akor Adams,NGA,FW,Montpellier,Ligue 1,23.0,2000.0,25.0,8,79,32,40.5,3.16,1.28,0.1,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1,1.9,1.4,-0.9,17,14,4,2,17,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0
17,Tyler Adams,USA,MF,Bournemouth,Premier League,24.0,1999.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,3,2.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0
18,Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22.0,2001.0,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,2,1.73,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,54,2,7,32,18,6,54,3,0,0.0,2,66.7,29,141,48,1,1,0,5,5,33,5,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0
19,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30.0,1993.0,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,2,2.0,1.1,0.0,12,16,3,0,18,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0,312,8,30,151,136,52,312,18,7,38.9,10,55.6,162,814,344,15,9,5,27,17,183,42,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0
20,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25.0,1997.0,18.0,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,10,0.56,6,0,0,4,0,0,0,0.0,0,0,0,0,0,0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0
21,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25.0,1998.0,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,4.1,4.1,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0
22,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21.0,2002.0,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2.0,1.6,-1.0,9,9,10,1,26,25,2.46,13,1,3,2,6,0,2,0.2,2,0,0,0,0,0,458,10,69,170,227,63,458,60,18,30.0,32,53.3,310,2413,1171,52,22,27,29,25,318,96,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0
23,Simon Adingra,CIV,FW,Brighton,Premier League,21.0,2002.0,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,1.7,1.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
24,Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20.0,2002.0,13.8,0,4,0,0.0,0.29,0.0,0.0,0.0,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,11,0.8,8,0,0,0,1,2,0,0.0,0,0,0,0,0,0,811,94,374,397,46,10,811,5,4,80.0,1,20.0,554,3506,1609,10,12,0,12,5,511,4,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1
25,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23.0,2000.0,10.0,4,27,15,55.6,2.71,1.5,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,0.7,0.7,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,6,2.3,2.9,3.7,21,19,18,3,39,52,5.22,39,0,6,3,4,0,9,0.9,5,0,2,1,1,0,575,7,52,231,299,66,575,27,13,48.1,10,37.0,339,1768,1021,32,25,16,17,10,460,131,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0
26,Yacine Adli,FRA,MF,Milan,Serie A,23.0,2000.0,15.6,1,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0,0,0,0.3,0.3,0.07,0.7,0.7,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0,1439,38,262,913,281,8,1439,32,22,68.8,8,25.0,873,4728,2144,30,27,3,18,10,1053,26,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1
27,Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25.0,1998.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,2,9,0,0,0,9,0,0,0.0,0,0.0,5,22,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,3,0
28,Adson,BRA,"MF,FW",Nantes,Ligue 1,22.0,2000.0,2.6,0,5,0,0.0,1.89,0.0,0.0,0.0,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15,9,3.4,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0
29,Michel Aebischer,SUI,MF,Bologna,Serie A,26.0,1997.0,24.8,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0,1694,51,405,1032,270,23,1694,25,14,56.0,9,36.0,1040,4507,2248,26,23,3,27,19,1308,55,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26.0,1997.0,28.8,1,32,5,15.6,1.11,0.17,0.03,0.2,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4,1599,1838,87.0,32774,10984,476,525,90.7,855,926,92.3,240,343,70.0,1,1.5,1.6,-0.5,12,172,5,1,179,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0,2198,237,820,1233,165,32,2198,31,15,48.4,16,51.6,1582,10223,5460,42,26,2,24,23,1405,19,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22.0,2000.0,2.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,67,100,67.0,1906,1648,19,19,100.0,27,27,100.0,21,53,39.6,0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,104,84,104,0,0,0,104,0,0,0.0,0,0.0,58,348,192,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
32,Lucien Agoume,FRA,MF,Inter,Serie A,21.0,2002.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,1,4,1,0,6,1,0,0.0,1,100.0,2,7,5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
33,Lucien Agoume,FRA,MF,Sevilla,La Liga,21.0,2002.0,8.6,0,6,2,33.3,0.69,0.23,0.0,0.0,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,301,360,83.6,5285,1424,141,163,86.5,120,135,88.9,31,42,73.8,0,0.6,0.3,-0.6,9,36,5,1,35,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0,430,17,108,245,83,12,430,8,7,87.5,1,12.5,221,1218,590,7,3,2,4,4,273,9,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0
34,Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23.0,1999.0,17.9,0,11,0,0.0,0.61,0.0,0.0,0.0,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,488,669,72.9,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,0,0.6,1.4,-0.6,7,18,16,7,32,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0,886,61,302,363,229,24,886,35,14,40.0,17,48.6,460,2297,1223,32,16,7,32,10,495,90,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,27.0,1996.0,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,14,0.68,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2
36,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30.0,1993.0,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4,1044,1282,81.4,15383,5987,594,666,89.2,369,443,83.3,44,93,47.3,3,2.9,4.0,0.1,26,73,42,14,110,47,2.2,43,1,1,2,0,0,5,0.23,5,0,0,0,0,0,1533,64,326,699,518,38,1533,20,6,30.0,12,60.0,1039,5334,2333,36,37,2,31,10,970,162,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0
37,Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20.0,2003.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,11,1,3,4,4,0,11,0,0,0.0,0,0.0,4,16,12,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21.0,2002.0,3.9,0,9,2,22.2,2.32,0.52,0.0,0.0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0
39,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24.0,1999.0,29.4,2,19,5,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,745,988,75.4,12681,5037,334,384,87.0,345,422,81.8,53,137,38.7,0,0.8,0.6,-0.8,7,41,3,1,43,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,1331,228,730,508,104,33,1331,21,11,52.4,9,42.9,603,3497,1946,15,15,3,14,11,693,21,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2
40,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27.0,1995.0,4.5,0,3,0,0.0,0.66,0.0,0.0,0.0,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,145,185,78.4,2918,1187,41,46,89.1,84,102,82.4,19,35,54.3,0,0.1,0.0,-0.1,1,8,1,0,12,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0,240,34,132,107,6,2,240,2,2,100.0,0,0.0,133,630,322,2,0,0,1,2,137,0,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0
41,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26.0,1996.0,18.8,1,11,1,9.1,0.59,0.05,0.09,1.0,26.6,0,0,0,0.3,0.3,0.02,0.7,0.7,603,802,75.2,9610,4012,328,374,87.7,217,284,76.4,45,99,45.5,1,0.9,1.0,0.1,11,58,13,6,68,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0,1019,62,340,462,228,13,1019,45,27,60.0,14,31.1,494,3139,1830,53,29,11,24,10,539,38,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51,1
42,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22.0,2001.0,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0,1522,56,406,698,446,49,1522,115,62,53.9,39,33.9,868,4904,2435,67,48,8,51,56,1007,99,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25.0,1998.0,10.0,2,11,3,27.3,1.1,0.3,0.18,0.67,22.7,0,0,0,1.8,1.8,0.17,0.2,0.2,154,203,75.9,2377,486,73,98,74.5,58,70,82.9,10,15,66.7,0,0.3,0.3,-0.3,7,7,2,0,16,13,1.3,12,0,0,0,1,0,1,0.1,0,0,0,0,1,0,291,10,54,120,123,21,291,26,12,46.2,13,50.0,227,1660,686,17,10,6,18,13,218,52,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0
44,Kristoffer Ajer,NOR,DF,Brentford,Premier League,25.0,1998.0,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1
45,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29.0,1994.0,15.1,2,27,6,22.2,1.79,0.4,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7,318,453,70.2,4546,479,172,241,71.4,105,145,72.4,15,19,78.9,0,1.0,1.6,-1.0,16,21,3,0,21,37,2.45,29,1,0,1,5,1,0,0.0,0,0,0,0,0,0,603,12,53,314,238,85,601,11,2,18.2,8,72.7,260,904,291,5,6,1,42,10,450,88,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0
